Key,id
you know you know you know you know you,9g_s1
know you know you know you know you know,9g_s2
la la la la la la la la la,9g_s3
yeah yeah yeah yeah yeah yeah yeah yeah yeah,9g_s4
i dont want to give too much away but,9g_s5
i box i give up fried foods red meat,9g_s6
box i give up fried foods red meat wheat,9g_s7
comes into the airspace of the united states of,9g_s8
into the airspace of the united states of america,9g_s9
i was able to learn more i was able,9g_s10
was able to learn more i was able to,9g_s11
able to learn more i was able to learn,9g_s12
to learn more i was able to learn more,9g_s13
ada wong its like fantastic i like fight part,9g_s14
i think that has a lot to do with,9g_s15
she is not at the forefront of the action,9g_s16
is not at the forefront of the action but,9g_s17
like the whole nation is doing right now protesting,9g_s18
the whole nation is doing right now protesting i,9g_s19
whole nation is doing right now protesting i am,9g_s20
nation is doing right now protesting i am protesting,9g_s21
is doing right now protesting i am protesting because,9g_s22
i think a lot of people can relate to,9g_s23
it was sold to disney and gary marshall came,9g_s24
was sold to disney and gary marshall came on,9g_s25
sold to disney and gary marshall came on and,9g_s26
to disney and gary marshall came on and reworked,9g_s27
disney and gary marshall came on and reworked it,9g_s28
comedy and but even when we were shooting we,9g_s29
and but even when we were shooting we would,9g_s30
but even when we were shooting we would you,9g_s31
even when we were shooting we would you know,9g_s32
when we were shooting we would you know break,9g_s33
we were shooting we would you know break for,9g_s34
were shooting we would you know break for lunch,9g_s35
shooting we would you know break for lunch because,9g_s36
i think its a great idea i think its,9g_s37
think its a great idea i think its a,9g_s38
its a great idea i think its a great,9g_s39
a great idea i think its a great idea,9g_s40
no no no no no no no no no,9g_s41
issues with russia as putin rears his head and,9g_s42
with russia as putin rears his head and comes,9g_s43
russia as putin rears his head and comes into,9g_s44
as putin rears his head and comes into the,9g_s45
putin rears his head and comes into the airspace,9g_s46
rears his head and comes into the airspace of,9g_s47
his head and comes into the airspace of the,9g_s48
head and comes into the airspace of the united,9g_s49
and comes into the airspace of the united states,9g_s50
it is from alaska that we send those out,9g_s51
is from alaska that we send those out to,9g_s52
from alaska that we send those out to make,9g_s53
alaska that we send those out to make sure,9g_s54
that we send those out to make sure that,9g_s55
we send those out to make sure that an,9g_s56
send those out to make sure that an eye,9g_s57
those out to make sure that an eye is,9g_s58
out to make sure that an eye is being,9g_s59
to make sure that an eye is being kept,9g_s60
make sure that an eye is being kept on,9g_s61
this very powerful nation russia because they are right,9g_s62
very powerful nation russia because they are right there,9g_s63
powerful nation russia because they are right there they,9g_s64
nation russia because they are right there they are,9g_s65
russia because they are right there they are right,9g_s66
because they are right there they are right next,9g_s67
they are right there they are right next to,9g_s68
foreign country russia and on our other side the,9g_s69
country russia and on our other side the land,9g_s70
russia and on our other side the land boundary,9g_s71
and on our other side the land boundary that,9g_s72
on our other side the land boundary that we,9g_s73
our other side the land boundary that we have,9g_s74
on another movie where youre just meeting everyone for,9g_s75
another movie where youre just meeting everyone for the,9g_s76
movie where youre just meeting everyone for the first,9g_s77
where youre just meeting everyone for the first time,9g_s78
youre just meeting everyone for the first time and,9g_s79
just meeting everyone for the first time and sussing,9g_s80
meeting everyone for the first time and sussing out,9g_s81
everyone for the first time and sussing out whether,9g_s82
of just tickling up your spine you think this,9g_s83
just tickling up your spine you think this is,9g_s84
tickling up your spine you think this is it,9g_s85
up your spine you think this is it this,9g_s86
your spine you think this is it this is,9g_s87
spine you think this is it this is the,9g_s88
you think this is it this is the moment,9g_s89
think this is it this is the moment when,9g_s90
this is it this is the moment when the,9g_s91
is it this is the moment when the thing,9g_s92
it this is the moment when the thing gets,9g_s93
this is the moment when the thing gets passed,9g_s94
is the moment when the thing gets passed on,9g_s95
the moment when the thing gets passed on and,9g_s96
moment when the thing gets passed on and he,9g_s97
when the thing gets passed on and he looked,9g_s98
the thing gets passed on and he looked at,9g_s99
thing gets passed on and he looked at me,9g_s100
absolutely absolutely it really is a big friendship on,9g_s101
absolutely it really is a big friendship on set,9g_s102
it really is a big friendship on set and,9g_s103
really is a big friendship on set and we,9g_s104
is a big friendship on set and we are,9g_s105
a big friendship on set and we are family,9g_s106
big friendship on set and we are family some,9g_s107
friendship on set and we are family some of,9g_s108
on set and we are family some of us,9g_s109
learn more i was able to learn more i,9g_s110
more i was able to learn more i was,9g_s111
i hope that i can continue working because i,9g_s112
people would come up to me on the street,9g_s113
stuff get in the way of whats important and,9g_s114
get in the way of whats important and thats,9g_s115
in the way of whats important and thats something,9g_s116
the way of whats important and thats something that,9g_s117
way of whats important and thats something that i,9g_s118
of whats important and thats something that i admire,9g_s119
whats important and thats something that i admire and,9g_s120
important and thats something that i admire and work,9g_s121
so this time i play ada wong its like,9g_s122
this time i play ada wong its like fantastic,9g_s123
time i play ada wong its like fantastic i,9g_s124
i play ada wong its like fantastic i like,9g_s125
play ada wong its like fantastic i like fight,9g_s126
wong its like fantastic i like fight part gun,9g_s127
like to cook so like i have them there,9g_s128
to cook so like i have them there and,9g_s129
cook so like i have them there and i,9g_s130
so like i have them there and i just,9g_s131
like i have them there and i just like,9g_s132
i have them there and i just like having,9g_s133
have them there and i just like having them,9g_s134
them there and i just like having them around,9g_s135
there and i just like having them around me,9g_s136
the chief thing yeah not a lot of sleep,9g_s137
chief thing yeah not a lot of sleep and,9g_s138
thing yeah not a lot of sleep and you,9g_s139
yeah not a lot of sleep and you know,9g_s140
not a lot of sleep and you know you,9g_s141
a lot of sleep and you know you have,9g_s142
lot of sleep and you know you have a,9g_s143
of sleep and you know you have a lot,9g_s144
sleep and you know you have a lot of,9g_s145
and you know you have a lot of like,9g_s146
you know you have a lot of like weird,9g_s147
know you have a lot of like weird conversations,9g_s148
you have a lot of like weird conversations you,9g_s149
have a lot of like weird conversations you know,9g_s150
when you have a small child like that who,9g_s151
you have a small child like that who cant,9g_s152
have a small child like that who cant understand,9g_s153
a small child like that who cant understand anything,9g_s154
small child like that who cant understand anything youre,9g_s155
child like that who cant understand anything youre saying,9g_s156
like that who cant understand anything youre saying right,9g_s157
that who cant understand anything youre saying right of,9g_s158
who cant understand anything youre saying right of course,9g_s159
own record label and the labels in trouble financially,9g_s160
record label and the labels in trouble financially and,9g_s161
label and the labels in trouble financially and um,9g_s162
and the labels in trouble financially and um and,9g_s163
the labels in trouble financially and um and hes,9g_s164
labels in trouble financially and um and hes at,9g_s165
in trouble financially and um and hes at a,9g_s166
trouble financially and um and hes at a crossroads,9g_s167
financially and um and hes at a crossroads really,9g_s168
and um and hes at a crossroads really like,9g_s169
um and hes at a crossroads really like his,9g_s170
and hes at a crossroads really like his partners,9g_s171
hes at a crossroads really like his partners want,9g_s172
at a crossroads really like his partners want him,9g_s173
a crossroads really like his partners want him to,9g_s174
crossroads really like his partners want him to sell,9g_s175
really like his partners want him to sell it,9g_s176
like his partners want him to sell it and,9g_s177
his partners want him to sell it and he,9g_s178
partners want him to sell it and he refuses,9g_s179
want him to sell it and he refuses to,9g_s180
him to sell it and he refuses to um,9g_s181
to sell it and he refuses to um and,9g_s182
