Key,id
but at the end of the day,7g_s1
and at the end of the day,7g_s2
you know you know you know you,7g_s3
know you know you know you know,7g_s4
i wanted to be a part of,7g_s5
at the end of the day i,7g_s6
and i was like oh my god,7g_s7
at the end of the day its,7g_s8
and i think a lot of people,7g_s9
to be a part of it and,7g_s10
there are a lot of people who,7g_s11
la la la la la la la,7g_s12
theres going to be a lot of,7g_s13
because at the end of the day,7g_s14
you know at the end of the,7g_s15
wanted to be a part of it,7g_s16
i think its going to be a,7g_s17
but at the same time you know,7g_s18
and it was a lot of fun,7g_s19
i dont want to give too much,7g_s20
dont want to give too much away,7g_s21
for the first time in my life,7g_s22
at the end of the day and,7g_s23
going to be a lot of fun,7g_s24
yeah yeah yeah yeah yeah yeah yeah,7g_s25
i dont know whats going to happen,7g_s26
i think at the end of the,7g_s27
so at the end of the day,7g_s28
you dont know whats going to happen,7g_s29
at the end of the day you,7g_s30
do you know what i mean i,7g_s31
and i think its going to be,7g_s32
know at the end of the day,7g_s33
its going to be a lot of,7g_s34
think at the end of the day,7g_s35
at the end of the day it,7g_s36
it was a lot of fun and,7g_s37
in the middle of the night and,7g_s38
when i was a kid i was,7g_s39
i remember when i was a kid,7g_s40
the right place at the right time,7g_s41
i have a lot of respect for,7g_s42
i knew it was going to be,7g_s43
and i think its one of the,7g_s44
want to give too much away but,7g_s45
up in the middle of the night,7g_s46
i want to be a part of,7g_s47
i thought it was going to be,7g_s48
i dont know if i want to,7g_s49
and i think thats one of the,7g_s50
i spent a lot of time in,7g_s51
i dont know i mean i think,7g_s52
didnt know what i wanted to do,7g_s53
and it was you know it was,7g_s54
wanted to be a part of this,7g_s55
want to be a part of this,7g_s56
and he looked at me and he,7g_s57
i dont know what it is but,7g_s58
you know when i was a kid,7g_s59
i think its one of those things,7g_s60
do for the rest of my life,7g_s61
over and over and over and over,7g_s62
at the end of the day im,7g_s63
i think thats one of the reasons,7g_s64
i just want to say thank you,7g_s65
to be a part of this film,7g_s66
its one of those things where you,7g_s67
to be a part of something that,7g_s68
i would love to be able to,7g_s69
i was like oh my god this,7g_s70
that it was going to be a,7g_s71
and i think thats part of the,7g_s72
come up to me on the street,7g_s73
came up to me and he said,7g_s74
do you know what i mean but,7g_s75
i dont know how to explain it,7g_s76
what it would be like to be,7g_s77
i read it and i was like,7g_s78
you know what i mean its like,7g_s79
it was one of those things where,7g_s80
i think a lot of people are,7g_s81
one of the reasons why i wanted,7g_s82
of the reasons why i wanted to,7g_s83
i dont know what im going to,7g_s84
it was the first time that i,7g_s85
didnt know what was going to happen,7g_s86
i thought i was going to be,7g_s87
i think there are a lot of,7g_s88
when i was a kid you know,7g_s89
when i was a kid and i,7g_s90
when i was a kid i used,7g_s91
i was a kid i used to,7g_s92
the end of the day i think,7g_s93
i dont want to i dont want,7g_s94
dont want to i dont want to,7g_s95
you know its one of those things,7g_s96
i think a lot of people can,7g_s97
i was a huge fan of the,7g_s98
when i read the script it was,7g_s99
at the end of the day if,7g_s100
and one of the things that i,7g_s101
for the rest of my life i,7g_s102
i want to do i want to,7g_s103
and then at the end of the,7g_s104
to be a part of the show,7g_s105
a lot of people can relate to,7g_s106
to be a part of that and,7g_s107
you know but at the same time,7g_s108
at the end of the day he,7g_s109
i think its a great idea i,7g_s110
no no no no no no no,7g_s111
and i was like you know i,7g_s112
he has a great sense of humor,7g_s113
happy to be a part of it,7g_s114
a lot of people are going to,7g_s115
was a lot of fun it was,7g_s116
i dont know if you know that,7g_s117
i think one of the most important,7g_s118
at the same time and i think,7g_s119
was like oh my god this is,7g_s120
was it was a lot of fun,7g_s121
i think one of the things that,7g_s122
to be honest with you i was,7g_s123
want to be a part of it,7g_s124
that has a lot to do with,7g_s125
you know what i mean i mean,7g_s126
for the rest of my life and,7g_s127
light at the end of the tunnel,7g_s128
and then i read the script and,7g_s129
then i read the script and i,7g_s130
and i think a lot of the,7g_s131
i cant tell you how many times,7g_s132
to be a part of it i,7g_s133
you know one of the things that,7g_s134
i got to be a part of,7g_s135
and it was the first time that,7g_s136
at the end of the day when,7g_s137
wake up in the middle of the,7g_s138
i didnt know what i wanted to,7g_s139
he looked at me and he said,7g_s140
dont know what im going to do,7g_s141
you know what i mean so its,7g_s142
one of the great things about the,7g_s143
to be a part of it because,7g_s144
and all of a sudden i was,7g_s145
really wanted to be a part of,7g_s146
and i cant wait to see what,7g_s147
i didnt know what i was doing,7g_s148
that this was going to be a,7g_s149
to be a part of a show,7g_s150
you know i have a lot of,7g_s151
know its one of those things where,7g_s152
it took me a long time to,7g_s153
at the end of the day they,7g_s154
you know i think a lot of,7g_s155
at the end of the day like,7g_s156
to do for the rest of my,7g_s157
