Key,id
you know,2g_s1
and i,2g_s2
i think,2g_s3
it was,2g_s4
i was,2g_s5
kind of,2g_s6
in the,2g_s7
of the,2g_s8
to be,2g_s9
i mean,2g_s10
a lot,2g_s11
and then,2g_s12
going to,2g_s13
i dont,2g_s14
that i,2g_s15
so i,2g_s16
lot of,2g_s17
to do,2g_s18
sort of,2g_s19
and the,2g_s20
was a,2g_s21
but i,2g_s22
and you,2g_s23
want to,2g_s24
on the,2g_s25
and so,2g_s26
have to,2g_s27
in a,2g_s28
and it,2g_s29
its a,2g_s30
when i,2g_s31
to the,2g_s32
know i,2g_s33
at the,2g_s34
and its,2g_s35
it and,2g_s36
i had,2g_s37
that was,2g_s38
and he,2g_s39
and we,2g_s40
i just,2g_s41
i have,2g_s42
have a,2g_s43
because i,2g_s44
that you,2g_s45
dont know,2g_s46
was like,2g_s47
he was,2g_s48
one of,2g_s49
a little,2g_s50
of a,2g_s51
and they,2g_s52
this is,2g_s53
we were,2g_s54
all the,2g_s55
is a,2g_s56
you have,2g_s57
for the,2g_s58
i would,2g_s59
for me,2g_s60
to get,2g_s61
like a,2g_s62
with the,2g_s63
the first,2g_s64
if you,2g_s65
to me,2g_s66
to go,2g_s67
what i,2g_s68
i love,2g_s69
you can,2g_s70
to have,2g_s71
and that,2g_s72
a very,2g_s73
like i,2g_s74
i didnt,2g_s75
it is,2g_s76
which is,2g_s77
had a,2g_s78
i said,2g_s79
the same,2g_s80
that we,2g_s81
the show,2g_s82
as a,2g_s83
wanted to,2g_s84
to see,2g_s85
its not,2g_s86
there was,2g_s87
and im,2g_s88
me and,2g_s89
i got,2g_s90
be a,2g_s91
to make,2g_s92
and and,2g_s93
for a,2g_s94
know what,2g_s95
think that,2g_s96
like that,2g_s97
of it,2g_s98
a great,2g_s99
part of,2g_s100
trying to,2g_s101
out of,2g_s102
that and,2g_s103
was the,2g_s104
so much,2g_s105
and thats,2g_s106
able to,2g_s107
theres a,2g_s108
i did,2g_s109
they were,2g_s110
and she,2g_s111
i thought,2g_s112
the way,2g_s113
i know,2g_s114
had to,2g_s115
know and,2g_s116
its like,2g_s117
the time,2g_s118
in my,2g_s119
was just,2g_s120
do it,2g_s121
i can,2g_s122
we have,2g_s123
about it,2g_s124
of my,2g_s125
got to,2g_s126
we had,2g_s127
is the,2g_s128
and a,2g_s129
when you,2g_s130
its just,2g_s131
all of,2g_s132
gon na,2g_s133
i really,2g_s134
im not,2g_s135
is that,2g_s136
i want,2g_s137
about the,2g_s138
like the,2g_s139
from the,2g_s140
it i,2g_s141
think its,2g_s142
in this,2g_s143
of that,2g_s144
know its,2g_s145
so its,2g_s146
i do,2g_s147
mean i,2g_s148
the world,2g_s149
then i,2g_s150
would be,2g_s151
know the,2g_s152
on a,2g_s153
but its,2g_s154
like you,2g_s155
if i,2g_s156
such a,2g_s157
yeah i,2g_s158
to work,2g_s159
with a,2g_s160
that the,2g_s161
the film,2g_s162
know that,2g_s163
you dont,2g_s164
the movie,2g_s165
but it,2g_s166
little bit,2g_s167
that they,2g_s168
i feel,2g_s169
she was,2g_s170
to say,2g_s171
