Key,id
at the end of the day,6g_s1
to be a part of it,6g_s2
do you know what i mean,6g_s3
i think a lot of people,6g_s4
you know what i mean and,6g_s5
and then all of a sudden,6g_s6
it was a lot of fun,6g_s7
and at the end of the,6g_s8
i dont know i dont know,6g_s9
for the rest of my life,6g_s10
and i think a lot of,6g_s11
i think its going to be,6g_s12
when i was a kid i,6g_s13
you know what i mean i,6g_s14
to be a part of this,6g_s15
i was like oh my god,6g_s16
but at the end of the,6g_s17
but at the same time i,6g_s18
to be a part of the,6g_s19
you know theres a lot of,6g_s20
wanted to be a part of,6g_s21
in the middle of the night,6g_s22
you know what i mean so,6g_s23
i spent a lot of time,6g_s24
going to be a lot of,6g_s25
want to be a part of,6g_s26
i dont know i mean i,6g_s27
that it was going to be,6g_s28
one of the things that i,6g_s29
you know what i mean like,6g_s30
you know a lot of people,6g_s31
but at the same time you,6g_s32
when i read the script i,6g_s33
it was it was it was,6g_s34
dont know whats going to happen,6g_s35
i think theres a lot of,6g_s36
that i was going to be,6g_s37
and all that kind of stuff,6g_s38
i dont know what it is,6g_s39
at the same time you know,6g_s40
there are a lot of people,6g_s41
you know you know you know,6g_s42
and i was like oh my,6g_s43
to be able to do that,6g_s44
we had a lot of fun,6g_s45
you know what i mean its,6g_s46
to be a part of that,6g_s47
it was the first time i,6g_s48
i think thats one of the,6g_s49
know you know you know you,6g_s50
it was going to be a,6g_s51
you know what i mean but,6g_s52
i think its one of the,6g_s53
it was you know it was,6g_s54
one of the great things about,6g_s55
i wanted to be a part,6g_s56
its one of those things where,6g_s57
to be able to work with,6g_s58
you know at the end of,6g_s59
the end of the day i,6g_s60
i thought i was going to,6g_s61
and it was the first time,6g_s62
when i was a kid and,6g_s63
you know i dont want to,6g_s64
and i was like you know,6g_s65
for me to be able to,6g_s66
to be honest with you i,6g_s67
be a part of it and,6g_s68
the end of the day its,6g_s69
you know its going to be,6g_s70
trying to figure out how to,6g_s71
one of the reasons why i,6g_s72
i know a lot of people,6g_s73
was a lot of fun and,6g_s74
you know what i mean you,6g_s75
thought it was going to be,6g_s76
on the other side of the,6g_s77
and at the same time i,6g_s78
to be a part of a,6g_s79
not going to be able to,6g_s80
a lot of a lot of,6g_s81
it was a bit of a,6g_s82
and i think that you know,6g_s83
i read the script and i,6g_s84
for a long time and i,6g_s85
think its going to be a,6g_s86
i was a huge fan of,6g_s87
its nice to be able to,6g_s88
are a lot of people who,6g_s89
to be able to do it,6g_s90
and one of the things that,6g_s91
i think a lot of the,6g_s92
i think that a lot of,6g_s93
la la la la la la,6g_s94
i think at the end of,6g_s95
theres going to be a lot,6g_s96
at the end of the film,6g_s97
it was one of those things,6g_s98
proud to be a part of,6g_s99
and all of a sudden i,6g_s100
and i have a lot of,6g_s101
i didnt know what i was,6g_s102
it had nothing to do with,6g_s103
i was like i want to,6g_s104
i dont know if i would,6g_s105
know at the end of the,6g_s106
it was the first time that,6g_s107
the president of the united states,6g_s108
at the end of the movie,6g_s109
so there was a lot of,6g_s110
but at the same time its,6g_s111
and i was like i dont,6g_s112
it you know what i mean,6g_s113
i dont know whats going to,6g_s114
and there are a lot of,6g_s115
i dont know if you know,6g_s116
i wanted to be an actor,6g_s117
you know you have to be,6g_s118
have a lot of respect for,6g_s119
i dont know i think its,6g_s120
so at the end of the,6g_s121
because at the end of the,6g_s122
it was one of the best,6g_s123
and there was a lot of,6g_s124
it was kind of like a,6g_s125
