Key,id
and,1g_s1
i,1g_s2
the,1g_s3
to,1g_s4
a,1g_s5
of,1g_s6
you,1g_s7
that,1g_s8
it,1g_s9
was,1g_s10
in,1g_s11
know,1g_s12
so,1g_s13
like,1g_s14
its,1g_s15
is,1g_s16
but,1g_s17
we,1g_s18
just,1g_s19
this,1g_s20
for,1g_s21
my,1g_s22
have,1g_s23
with,1g_s24
on,1g_s25
be,1g_s26
think,1g_s27
he,1g_s28
really,1g_s29
they,1g_s30
me,1g_s31
because,1g_s32
what,1g_s33
do,1g_s34
im,1g_s35
all,1g_s36
about,1g_s37
not,1g_s38
were,1g_s39
as,1g_s40
people,1g_s41
very,1g_s42
when,1g_s43
at,1g_s44
had,1g_s45
dont,1g_s46
there,1g_s47
are,1g_s48
kind,1g_s49
thats,1g_s50
out,1g_s51
then,1g_s52
or,1g_s53
one,1g_s54
going,1g_s55
she,1g_s56
if,1g_s57
get,1g_s58
up,1g_s59
an,1g_s60
mean,1g_s61
time,1g_s62
would,1g_s63
can,1g_s64
who,1g_s65
lot,1g_s66
well,1g_s67
from,1g_s68
got,1g_s69
go,1g_s70
yeah,1g_s71
been,1g_s72
them,1g_s73
hes,1g_s74
said,1g_s75
want,1g_s76
how,1g_s77
him,1g_s78
no,1g_s79
theres,1g_s80
her,1g_s81
more,1g_s82
something,1g_s83
youre,1g_s84
ive,1g_s85
show,1g_s86
way,1g_s87
great,1g_s88
which,1g_s89
his,1g_s90
see,1g_s91
things,1g_s92
some,1g_s93
love,1g_s94
much,1g_s95
your,1g_s96
say,1g_s97
now,1g_s98
did,1g_s99
sort,1g_s100
thing,1g_s101
where,1g_s102
has,1g_s103
always,1g_s104
first,1g_s105
film,1g_s106
doing,1g_s107
right,1g_s108
theyre,1g_s109
didnt,1g_s110
work,1g_s111
good,1g_s112
actually,1g_s113
movie,1g_s114
these,1g_s115
into,1g_s116
make,1g_s117
other,1g_s118
back,1g_s119
little,1g_s120
our,1g_s121
by,1g_s122
life,1g_s123
being,1g_s124
their,1g_s125
shes,1g_s126
also,1g_s127
come,1g_s128
never,1g_s129
years,1g_s130
different,1g_s131
feel,1g_s132
could,1g_s133
us,1g_s134
character,1g_s135
those,1g_s136
day,1g_s137
even,1g_s138
will,1g_s139
um,1g_s140
every,1g_s141
went,1g_s142
thought,1g_s143
two,1g_s144
part,1g_s145
oh,1g_s146
play,1g_s147
wanted,1g_s148
fun,1g_s149
story,1g_s150
new,1g_s151
before,1g_s152
take,1g_s153
world,1g_s154
bit,1g_s155
cant,1g_s156
through,1g_s157
many,1g_s158
big,1g_s159
over,1g_s160
than,1g_s161
around,1g_s162
stuff,1g_s163
here,1g_s164
look,1g_s165
only,1g_s166
came,1g_s167
down,1g_s168
done,1g_s169
most,1g_s170
everything,1g_s171
put,1g_s172
same,1g_s173
uh,1g_s174
any,1g_s175
made,1g_s176
guy,1g_s177
why,1g_s178
still,1g_s179
real,1g_s180
off,1g_s181
working,1g_s182
together,1g_s183
such,1g_s184
too,1g_s185
whole,1g_s186
id,1g_s187
family,1g_s188
trying,1g_s189
after,1g_s190
ever,1g_s191
called,1g_s192
anything,1g_s193
own,1g_s194
man,1g_s195
started,1g_s196
maybe,1g_s197
myself,1g_s198
able,1g_s199
amazing,1g_s200
best,1g_s201
tell,1g_s202
quite,1g_s203
find,1g_s204
wasnt,1g_s205
person,1g_s206
try,1g_s207
set,1g_s208
doesnt,1g_s209
end,1g_s210
long,1g_s211
everybody,1g_s212
having,1g_s213
knew,1g_s214
na,1g_s215
year,1g_s216
guys,1g_s217
am,1g_s218
hard,1g_s219
each,1g_s220
read,1g_s221
probably,1g_s222
characters,1g_s223
getting,1g_s224
actor,1g_s225
does,1g_s226
three,1g_s227
gon,1g_s228
pretty,1g_s229
away,1g_s230
felt,1g_s231
last,1g_s232
remember,1g_s233
coming,1g_s234
yes,1g_s235
weve,1g_s236
whats,1g_s237
again,1g_s238
funny,1g_s239
talk,1g_s240
job,1g_s241
course,1g_s242
should,1g_s243
okay,1g_s244
sometimes,1g_s245
movies,1g_s246
someone,1g_s247
ill,1g_s248
school,1g_s249
sure,1g_s250
need,1g_s251
friends,1g_s252
point,1g_s253
watch,1g_s254
saying,1g_s255
actors,1g_s256
give,1g_s257
another,1g_s258
idea,1g_s259
interesting,1g_s260
whatever,1g_s261
both,1g_s262
fact,1g_s263
script,1g_s264
used,1g_s265
important,1g_s266
next,1g_s267
kids,1g_s268
start,1g_s269
old,1g_s270
everyone,1g_s271
scene,1g_s272
place,1g_s273
nice,1g_s274
playing,1g_s275
comes,1g_s276
seen,1g_s277
talking,1g_s278
music,1g_s279
moment,1g_s280
times,1g_s281
season,1g_s282
keep,1g_s283
somebody,1g_s284
saw,1g_s285
films,1g_s286
worked,1g_s287
live,1g_s288
making,1g_s289
definitely,1g_s290
home,1g_s291
obviously,1g_s292
else,1g_s293
experience,1g_s294
goes,1g_s295
young,1g_s296
whos,1g_s297
youve,1g_s298
bad,1g_s299
better,1g_s300
night,1g_s301
wonderful,1g_s302
happened,1g_s303
makes,1g_s304
audience,1g_s305
women,1g_s306
cool,1g_s307
believe,1g_s308
sense,1g_s309
few,1g_s310
happy,1g_s311
watching,1g_s312
days,1g_s313
might,1g_s314
told,1g_s315
loved,1g_s316
between,1g_s317
couple,1g_s318
happen,1g_s319
role,1g_s320
while,1g_s321
took,1g_s322
let,1g_s323
played,1g_s324
looking,1g_s325
once,1g_s326
excited,1g_s327
four,1g_s328
book,1g_s329
house,1g_s330
relationship,1g_s331
guess,1g_s332
enough,1g_s333
god,1g_s334
money,1g_s335
hope,1g_s336
understand,1g_s337
five,1g_s338
woman,1g_s339
ago,1g_s340
met,1g_s341
shot,1g_s342
crazy,1g_s343
call,1g_s344
director,1g_s345
shows,1g_s346
says,1g_s347
acting,1g_s348
yourself,1g_s349
beautiful,1g_s350
couldnt,1g_s351
episode,1g_s352
write,1g_s353
almost,1g_s354
nothing,1g_s355
writing,1g_s356
wouldnt,1g_s357
cast,1g_s358
song,1g_s359
found,1g_s360
huge,1g_s361
gets,1g_s362
shooting,1g_s363
become,1g_s364
room,1g_s365
whether,1g_s366
thinking,1g_s367
true,1g_s368
name,1g_s369
comedy,1g_s370
television,1g_s371
theyve,1g_s372
wants,1g_s373
help,1g_s374
